Timestamp_ms,Value
190143,-0.004
190148,-0.011
190153,-0.020
190158,-0.026
190163,-0.030
190168,-0.035
190173,-0.041
190178,-0.047
190183,-0.055
190188,-0.066
190193,-0.073
190198,-0.077
190203,-0.080
190208,-0.086
190213,-0.090
190218,-0.089
190223,-0.084
190228,-0.082
190233,-0.082
190238,-0.081
190243,-0.077
190248,-0.074
190253,-0.071
190258,-0.069
190263,-0.066
190268,-0.064
190273,-0.063
190278,-0.061
190283,-0.061
190288,-0.062
190293,-0.062
190298,-0.061
190303,-0.060
190308,-0.064
190313,-0.070
190318,-0.072
190323,-0.069
190328,-0.068
190333,-0.072
190338,-0.076
190343,-0.079
190348,-0.085
190353,-0.087
190358,-0.083
190363,-0.077
190368,-0.077
190373,-0.083
190378,-0.086
190383,-0.085
190388,-0.085
190393,-0.089
190398,-0.089
190403,-0.087
190408,-0.083
190413,-0.081
190418,-0.076
190423,-0.071
190428,-0.070
190433,-0.074
190438,-0.080
190443,-0.082
190448,-0.080
190453,-0.075
190458,-0.067
190463,-0.062
190468,-0.063
190473,-0.069
190478,-0.070
190483,-0.067
190488,-0.064
190493,-0.065
190498,-0.064
190503,-0.062
190508,-0.060
190513,-0.062
190518,-0.064
190523,-0.063
190528,-0.060
190533,-0.058
190538,-0.060
190543,-0.062
190548,-0.061
190553,-0.056
190558,-0.048
190563,-0.044
190568,-0.048
190573,-0.056
190578,-0.061
190583,-0.056
190588,-0.044
190593,-0.034
190598,-0.027
190603,-0.018
190608,-0.005
190613,0.004
190618,0.005
190623,-0.002
190628,-0.014
190633,-0.026
190638,-0.033
190643,-0.037
190648,-0.039
190653,-0.040
190658,-0.039
190663,-0.037
190668,-0.039
190673,-0.043
190678,-0.042
190683,-0.035
190688,-0.036
190693,-0.041
190698,-0.021
190703,0.079
190708,0.311
190713,0.636
190718,0.849
190723,0.695
190728,0.149
190733,-0.480
190738,-0.805
190743,-0.727
190748,-0.459
190753,-0.244
190758,-0.143
190763,-0.095
190768,-0.057
190773,-0.031
190778,-0.016
190783,-0.010
190788,-0.005
190793,-0.001
190798,0.004
190803,0.006
190808,0.006
190813,0.007
190818,0.010
190823,0.013
190828,0.015
190833,0.021
190838,0.027
190843,0.031
190848,0.031
190853,0.032
190858,0.034
190863,0.038
190868,0.041
190873,0.043
190878,0.046
190883,0.050
190888,0.049
190893,0.052
190898,0.059
190903,0.068
190908,0.072
190913,0.075
190918,0.078
190923,0.079
190928,0.075
190933,0.071
190938,0.074
190943,0.084
190948,0.089
190953,0.084
190958,0.075
190963,0.069
190968,0.064
190973,0.060
190978,0.055
190983,0.049
190988,0.039
190993,0.029
190998,0.023
191003,0.019
191008,0.012
191013,0.003
191018,-0.005
191023,-0.010
191028,-0.013
191033,-0.020
191038,-0.023
191043,-0.028
191048,-0.039
191053,-0.053
191058,-0.063
191063,-0.068
191068,-0.071
191073,-0.079
191078,-0.086
191083,-0.090
191088,-0.092
191093,-0.094
191098,-0.095
191103,-0.094
191108,-0.095
191113,-0.097
191118,-0.092
191123,-0.086
191128,-0.083
191133,-0.085
191138,-0.086
191143,-0.083
191148,-0.082
191153,-0.085
191158,-0.084
191163,-0.080
191168,-0.080
191173,-0.084
191178,-0.085
191183,-0.084
191188,-0.085
191193,-0.086
191198,-0.084
191203,-0.080
191208,-0.082
191213,-0.091
191218,-0.100
191223,-0.103
191228,-0.103
