Timestamp,Value
109331,-0.188
109332,-0.188
109333,-0.188
109398,-0.196
109399,-0.20800000000000002
109400,-0.215
109401,-0.211
109402,-0.201
109403,-0.196
109404,-0.192
109405,-0.154
109406,-0.033
109407,0.20800000000000002
109408,0.5
109409,0.635
109410,0.398
109411,-0.184
109412,-0.794
109413,-1.088
109478,-0.985
109479,-0.6930000000000001
109480,-0.447
109481,-0.318
109482,-0.253
109483,-0.20800000000000002
109484,-0.181
109485,-0.17200000000000001
109486,-0.165
109487,-0.153
109488,-0.14
109489,-0.137
109490,-0.145
109491,-0.148
109492,-0.137
109493,-0.121
109558,-0.106
109559,-0.101
109560,-0.105
109561,-0.111
109562,-0.111
109563,-0.10400000000000001
109564,-0.093
109565,-0.089
109566,-0.089
109567,-0.093
109568,-0.093
109569,-0.08700000000000001
109570,-0.076
109571,-0.07200000000000001
109572,-0.079
109573,-0.089
109638,-0.092
109639,-0.084
109640,-0.08
109641,-0.082
109642,-0.08700000000000001
109643,-0.085
109644,-0.08
109645,-0.082
109646,-0.088
109647,-0.089
109648,-0.088
109649,-0.08600000000000001
109650,-0.089
109651,-0.093
109652,-0.097
109653,-0.106
109718,-0.121
109719,-0.134
109720,-0.14
109721,-0.14300000000000002
109722,-0.151
109723,-0.166
109724,-0.183
109725,-0.193
109726,-0.194
109727,-0.186
109728,-0.186
109729,-0.194
109730,-0.20400000000000001
109731,-0.20700000000000002
109732,-0.20800000000000002
109733,-0.216
109798,-0.23
109799,-0.241
109800,-0.246
109801,-0.247
109802,-0.251
109803,-0.253
109804,-0.253
109805,-0.252
109806,-0.252
109807,-0.253
109808,-0.248
109809,-0.24
109810,-0.23600000000000002
109811,-0.23600000000000002
109812,-0.23700000000000002
109813,-0.232
109878,-0.224
109879,-0.219
109880,-0.221
109881,-0.228
109882,-0.231
109883,-0.23
109884,-0.23
109885,-0.23700000000000002
109886,-0.245
109887,-0.246
109888,-0.243
109889,-0.243
109890,-0.251
109891,-0.257
109892,-0.256
109893,-0.253
109958,-0.256
109959,-0.262
109960,-0.263
109961,-0.258
109962,-0.257
109963,-0.262
109964,-0.267
109965,-0.267
109966,-0.266
109967,-0.266
109968,-0.266
109969,-0.27
109970,-0.275
109971,-0.272
109972,-0.258
109973,-0.243
110038,-0.242
110039,-0.254
110040,-0.265
110041,-0.268
110042,-0.26
110043,-0.251
110044,-0.247
110045,-0.247
110046,-0.245
110047,-0.244
110048,-0.249
110049,-0.259
110050,-0.259
110051,-0.245
110052,-0.231
110053,-0.227
110118,-0.229
110119,-0.229
110120,-0.222
110121,-0.213
110122,-0.20400000000000001
110123,-0.197
110124,-0.194
110125,-0.193
110126,-0.183
110127,-0.157
110128,-0.126
110129,-0.108
110130,-0.11
110131,-0.11900000000000001
110132,-0.126
110133,-0.127
110198,-0.13
110199,-0.133
110200,-0.134
110201,-0.131
110202,-0.129
110203,-0.126
110204,-0.121
110205,-0.114
110206,-0.107
110207,-0.105
110208,-0.111
110209,-0.114
110210,-0.088
110211,0.008
110212,0.20500000000000002
110213,0.492
110278,0.749
110279,0.745
110280,0.333
110281,-0.335
110282,-0.876
110283,-1.0030000000000001
110284,-0.772
110285,-0.459
110286,-0.254
110287,-0.156
110288,-0.098
110289,-0.055
110290,-0.032
110291,-0.015
110292,0.005
110293,0.022
110358,0.029
110359,0.029
